timestamp,tool,scenario,iteration,phase,duration_ms,exit_code
2025-12-24T15:22:50.0821680Z,dbt,S2,10,measured,29668,0
2025-12-24T15:23:19.5120180Z,dbt,S2,11,measured,29429,0
2025-12-24T15:23:49.2191690Z,dbt,S2,12,measured,29706,0
2025-12-24T15:24:18.8336702Z,dbt,S2,13,measured,29613,0
2025-12-24T15:24:48.5535364Z,dbt,S2,14,measured,29718,0
2025-12-24T15:25:18.5060532Z,dbt,S2,15,measured,29951,0
2025-12-24T15:25:54.9104855Z,dbt,S2,16,measured,36403,0
2025-12-24T15:26:24.4966039Z,dbt,S2,17,measured,29586,0
2025-12-24T15:26:54.3159985Z,dbt,S2,18,measured,29817,0
2025-12-24T15:27:23.7639280Z,dbt,S2,19,measured,29447,0
2025-12-24T15:27:53.5747260Z,dbt,S2,20,measured,29809,0
2025-12-24T15:28:11.5386646Z,sql_test_kit,S2,1,measured,15844,0
2025-12-24T15:28:27.4948701Z,sql_test_kit,S2,2,measured,15949,0
2025-12-24T15:28:43.3253228Z,sql_test_kit,S2,3,measured,15829,0
2025-12-24T15:28:59.3927164Z,sql_test_kit,S2,4,measured,16066,0
2025-12-24T15:29:15.3080368Z,sql_test_kit,S2,5,measured,15915,0
2025-12-24T15:29:31.2696153Z,sql_test_kit,S2,6,measured,15960,0
2025-12-24T15:29:47.1437615Z,sql_test_kit,S2,7,measured,15873,0
2025-12-24T15:30:02.9993074Z,sql_test_kit,S2,8,measured,15855,0
2025-12-24T15:30:18.8807924Z,sql_test_kit,S2,9,measured,15880,0
2025-12-24T15:30:34.9150073Z,sql_test_kit,S2,10,measured,16033,0
2025-12-24T15:30:50.7404886Z,sql_test_kit,S2,11,measured,15824,0
2025-12-24T15:31:06.7058025Z,sql_test_kit,S2,12,measured,15964,0
2025-12-24T15:31:22.5393066Z,sql_test_kit,S2,13,measured,15833,0
2025-12-24T15:31:38.5507737Z,sql_test_kit,S2,14,measured,16010,0
2025-12-24T15:31:54.4257778Z,sql_test_kit,S2,15,measured,15873,0
2025-12-24T15:32:10.3869546Z,sql_test_kit,S2,16,measured,15960,0
2025-12-24T15:32:26.2636743Z,sql_test_kit,S2,17,measured,15876,0
2025-12-24T15:32:42.3641008Z,sql_test_kit,S2,18,measured,16099,0
2025-12-24T15:32:58.4722839Z,sql_test_kit,S2,19,measured,16107,0
2025-12-24T15:33:14.2889614Z,sql_test_kit,S2,20,measured,15815,0
2025-12-24T15:33:19.1713176Z,pytest_sqlalchemy,S4,1,measured,3358,0
2025-12-24T15:33:22.4696840Z,pytest_sqlalchemy,S4,2,measured,3291,0
2025-12-24T15:33:25.7589309Z,pytest_sqlalchemy,S4,3,measured,3288,0
2025-12-24T15:33:29.0514636Z,pytest_sqlalchemy,S4,4,measured,3292,0
2025-12-24T15:33:32.3241294Z,pytest_sqlalchemy,S4,5,measured,3272,0
2025-12-24T15:33:35.6093586Z,pytest_sqlalchemy,S4,6,measured,3284,0
2025-12-24T15:33:38.9098191Z,pytest_sqlalchemy,S4,7,measured,3299,0
2025-12-24T15:33:42.1913523Z,pytest_sqlalchemy,S4,8,measured,3280,0
2025-12-24T15:33:45.4758894Z,pytest_sqlalchemy,S4,9,measured,3283,0
2025-12-24T15:33:48.7872927Z,pytest_sqlalchemy,S4,10,measured,3310,0
2025-12-24T15:33:52.0818878Z,pytest_sqlalchemy,S4,11,measured,3294,0
2025-12-24T15:33:55.3562900Z,pytest_sqlalchemy,S4,12,measured,3274,0
2025-12-24T15:33:58.7291082Z,pytest_sqlalchemy,S4,13,measured,3371,0
2025-12-24T15:34:01.9866354Z,pytest_sqlalchemy,S4,14,measured,3256,0
2025-12-24T15:34:05.2507919Z,pytest_sqlalchemy,S4,15,measured,3263,0
2025-12-24T15:34:08.5267681Z,pytest_sqlalchemy,S4,16,measured,3275,0
2025-12-24T15:34:11.7944725Z,pytest_sqlalchemy,S4,17,measured,3267,0
2025-12-24T15:34:15.0795121Z,pytest_sqlalchemy,S4,18,measured,3285,0
2025-12-24T15:34:18.3671240Z,pytest_sqlalchemy,S4,19,measured,3287,0
2025-12-24T15:34:21.6549565Z,pytest_sqlalchemy,S4,20,measured,3286,0
2025-12-24T15:34:47.1672188Z,pytest_testcontainers,S4,1,measured,24386,0
2025-12-24T15:35:11.7520120Z,pytest_testcontainers,S4,2,measured,24576,0
